character,accuracy,correct,total,percentage_%
254:'þ',0.26256983240223464,94,358,26.256983240223462
220:'Ü',0.26272912423625255,129,491,26.272912423625254
0:'\x00',0.2627986348122867,77,293,26.27986348122867
116:'t',0.264,132,500,26.400000000000002
234:'ê',0.26519337016574585,96,362,26.519337016574585
205:'Í',0.2659279778393352,96,361,26.59279778393352
167:'§',0.26636568848758463,118,443,26.63656884875846
28:'\x1c',0.267260579064588,120,449,26.7260579064588
244:'ô',0.26740947075208915,96,359,26.740947075208915
15:'\x0f',0.26811594202898553,111,414,26.811594202898554
211:'Ó',0.26822157434402333,92,343,26.82215743440233
243:'ó',0.2689295039164491,103,383,26.89295039164491
176:'°',0.2695035460992908,114,423,26.95035460992908
192:'À',0.2697095435684647,130,482,26.970954356846473
161:'¡',0.2717391304347826,125,460,27.173913043478258
2:'\x02',0.27230046948356806,174,639,27.230046948356808
245:'õ',0.2727272727272727,87,319,27.27272727272727
216:'Ø',0.273972602739726,140,511,27.397260273972602
240:'ð',0.27405247813411077,94,343,27.405247813411076
210:'Ò',0.2743362831858407,93,339,27.43362831858407
236:'ì',0.2747875354107649,97,353,27.47875354107649
248:'ø',0.27761194029850744,93,335,27.761194029850746
32:' ',0.27912087912087913,127,455,27.912087912087912
104:'h',0.281947261663286,139,493,28.1947261663286
241:'ñ',0.28362573099415206,97,342,28.362573099415204
213:'Õ',0.2852852852852853,95,333,28.52852852852853
206:'Î',0.28611898016997167,101,353,28.611898016997166
113:'q',0.28635346756152125,128,447,28.635346756152124
212:'Ô',0.28700906344410876,95,331,28.700906344410875
106:'j',0.28874734607218683,136,471,28.874734607218684
166:'¦',0.2907268170426065,116,399,29.07268170426065
126:'~',0.29094076655052264,167,574,29.094076655052266
238:'î',0.2909604519774011,103,354,29.09604519774011
180:'´',0.2911392405063291,115,395,29.11392405063291
198:'Æ',0.292817679558011,159,543,29.2817679558011
204:'Ì',0.29396325459317585,112,381,29.396325459317584
253:'ý',0.29476584022038566,107,363,29.476584022038566
174:'®',0.2951653944020356,116,393,29.51653944020356
96:'`',0.2956058588548602,222,751,29.560585885486017
255:'ÿ',0.2958579881656805,50,169,29.585798816568047
181:'µ',0.29815303430079154,113,379,29.815303430079155
189:'½',0.30025445292620867,118,393,30.025445292620866
199:'Ç',0.30113636363636365,159,528,30.113636363636363
208:'Ð',0.30177514792899407,102,338,30.17751479289941
190:'¾',0.30319148936170215,114,376,30.319148936170215
100:'d',0.30368098159509205,198,652,30.368098159509206
107:'k',0.30472103004291845,142,466,30.472103004291846
237:'í',0.3087818696883853,109,353,30.878186968838527
146:'\x92',0.3088235294117647,126,408,30.88235294117647
162:'¢',0.3095890410958904,113,365,30.958904109589042
102:'f',0.31020408163265306,152,490,31.020408163265305
223:'ß',0.31470588235294117,107,340,31.470588235294116
219:'Û',0.3148936170212766,148,470,31.48936170212766
59:';',0.31808278867102396,146,459,31.808278867102395
249:'ù',0.31845238095238093,107,336,31.845238095238095
91:'[',0.31902985074626866,171,536,31.902985074626866
218:'Ú',0.3224489795918367,158,490,32.244897959183675
230:'æ',0.32390745501285345,126,389,32.390745501285345
165:'¥',0.32524271844660196,134,412,32.5242718446602
191:'¿',0.32722513089005234,125,382,32.72251308900523
195:'Ã',0.328125,126,384,32.8125
207:'Ï',0.332378223495702,116,349,33.2378223495702
72:'H',0.3339587242026266,356,1066,33.39587242026266
171:'«',0.3348115299334812,151,451,33.48115299334812
88:'X',0.335632183908046,292,870,33.5632183908046
231:'ç',0.3380281690140845,120,355,33.80281690140845
65:'A',0.3394415357766143,389,1146,33.94415357766143
63:'?',0.344017094017094,161,468,34.401709401709404
169:'©',0.3448275862068966,150,435,34.48275862068966
101:'e',0.3449920508744038,217,629,34.49920508744038
182:'¶',0.35324675324675325,136,385,35.324675324675326
221:'Ý',0.3538135593220339,167,472,35.38135593220339
202:'Ê',0.3557312252964427,180,506,35.573122529644266
172:'¬',0.3572679509632224,204,571,35.72679509632224
17:'\x11',0.3684210526315789,154,418,36.84210526315789
164:'¤',0.3708133971291866,155,418,37.08133971291866
37:'%',0.3713450292397661,254,684,37.13450292397661
79:'O',0.37389100126742714,295,789,37.38910012674271
87:'W',0.37411764705882355,318,850,37.411764705882355
215:'×',0.3746312684365782,127,339,37.46312684365782
187:'»',0.3791348600508906,149,393,37.913486005089055
64:'@',0.3869047619047619,195,504,38.69047619047619
81:'Q',0.39110604332953247,343,877,39.110604332953244
38:'&',0.39174107142857145,351,896,39.174107142857146
77:'M',0.3940936863543788,387,982,39.40936863543788
92:'\\',0.3948170731707317,259,656,39.48170731707317
125:'}',0.39572192513368987,222,561,39.57219251336899
95:'_',0.3970893970893971,191,481,39.70893970893971
42:'*',0.40654205607476634,348,856,40.654205607476634
"34:'""'",0.41082164328657317,410,998,41.08216432865731
86:'V',0.41743119266055045,364,872,41.74311926605505
177:'±',0.4201474201474201,171,407,42.01474201474201
67:'C',0.42515592515592515,409,962,42.515592515592516
123:'{',0.42650103519668736,206,483,42.65010351966873
90:'Z',0.4271070615034169,375,878,42.710706150341686
94:'^',0.43031123139377536,318,739,43.031123139377534
84:'T',0.43068181818181817,379,880,43.06818181818181
73:'I',0.4313940724478595,393,911,43.13940724478595
93:']',0.4315352697095436,208,482,43.15352697095436
68:'D',0.4377880184331797,475,1085,43.77880184331797
33:'!',0.44026974951830444,457,1038,44.02697495183045
209:'Ñ',0.44787644787644787,232,518,44.78764478764479
69:'E',0.44805876180482684,427,953,44.805876180482684
