character,accuracy,correct,total,percentage_%
165:'¥',0.24514563106796117,101,412,24.514563106796118
241:'ñ',0.24561403508771928,84,342,24.561403508771928
126:'~',0.2456445993031359,141,574,24.56445993031359
162:'¢',0.2684931506849315,98,365,26.84931506849315
167:'§',0.2686230248306998,119,443,26.86230248306998
195:'Ã',0.2708333333333333,104,384,27.083333333333332
109:'m',0.27102803738317754,116,428,27.102803738317753
221:'Ý',0.2754237288135593,130,472,27.54237288135593
245:'õ',0.27586206896551724,88,319,27.586206896551722
30:'\x1e',0.2775862068965517,161,580,27.75862068965517
182:'¶',0.2779220779220779,107,385,27.79220779220779
253:'ý',0.2837465564738292,103,363,28.37465564738292
96:'`',0.28761651131824234,216,751,28.761651131824234
220:'Ü',0.29327902240325865,144,491,29.327902240325866
"34:'""'",0.29759519038076154,297,998,29.759519038076153
38:'&',0.3002232142857143,269,896,30.02232142857143
59:';',0.3006535947712418,138,459,30.065359477124183
164:'¤',0.3038277511961722,127,418,30.38277511961722
17:'\x11',0.3038277511961722,127,418,30.38277511961722
166:'¦',0.3082706766917293,123,399,30.82706766917293
215:'×',0.31268436578171094,106,339,31.268436578171094
189:'½',0.3155216284987277,124,393,31.552162849872772
208:'Ð',0.3254437869822485,110,338,32.544378698224854
222:'Þ',0.33136094674556216,112,338,33.13609467455622
94:'^',0.35182679296346414,260,739,35.182679296346414
198:'Æ',0.35359116022099446,192,543,35.35911602209944
64:'@',0.3551587301587302,179,504,35.51587301587302
45:'-',0.35939323220536756,308,857,35.93932322053676
"44:','",0.36202830188679247,307,848,36.20283018867924
169:'©',0.37471264367816093,163,435,37.47126436781609
33:'!',0.37764932562620424,392,1038,37.76493256262042
190:'¾',0.3803191489361702,143,376,38.03191489361702
171:'«',0.3924611973392461,177,451,39.24611973392461
84:'T',0.4102272727272727,361,880,41.02272727272727
177:'±',0.4152334152334152,169,407,41.52334152334152
174:'®',0.4173027989821883,164,393,41.73027989821883
202:'Ê',0.4189723320158103,212,506,41.89723320158103
92:'\\',0.4222560975609756,277,656,42.22560975609756
85:'U',0.433264887063655,422,974,43.3264887063655
68:'D',0.447926267281106,486,1085,44.792626728110605
123:'{',0.4554865424430642,220,483,45.54865424430642
216:'Ø',0.45792563600782776,234,511,45.79256360078278
247:'÷',0.47023809523809523,158,336,47.023809523809526
125:'}',0.47237076648841353,265,561,47.23707664884135
187:'»',0.4758269720101781,187,393,47.58269720101781
86:'V',0.48623853211009177,424,872,48.62385321100918
95:'_',0.4864864864864865,234,481,48.64864864864865
46:'.',0.48839779005524864,442,905,48.83977900552486
37:'%',0.4926900584795322,337,684,49.26900584795322
71:'G',0.4989495798319328,475,952,49.89495798319328
66:'B',0.49954504094631486,549,1099,49.95450409463149
83:'S',0.5105795768169273,555,1087,51.057957681692734
67:'C',0.5135135135135135,494,962,51.35135135135135
88:'X',0.5241379310344828,456,870,52.41379310344828
87:'W',0.5247058823529411,446,850,52.470588235294116
72:'H',0.5272045028142589,562,1066,52.72045028142589
65:'A',0.5392670157068062,618,1146,53.92670157068062
81:'Q',0.5518814139110604,484,877,55.188141391106036
90:'Z',0.5569476082004556,489,878,55.694760820045566
74:'J',0.5836065573770491,534,915,58.36065573770492
75:'K',0.5901455767077267,527,893,59.014557670772675
77:'M',0.5926680244399185,582,982,59.26680244399185
89:'Y',0.6052036199095022,535,884,60.52036199095022
41:')',0.6070615034168565,533,878,60.70615034168565
82:'R',0.6082771896053898,632,1039,60.82771896053898
56:'8',0.6101346724492125,2673,4381,61.01346724492125
69:'E',0.6128016789087093,584,953,61.28016789087093
42:'*',0.6133177570093458,525,856,61.33177570093458
209:'Ñ',0.6158301158301158,319,518,61.58301158301158
76:'L',0.6315205327413984,569,901,63.15205327413984
70:'F',0.6420798065296252,531,827,64.20798065296252
52:'4',0.6522219765642273,2950,4523,65.22219765642274
80:'P',0.6608505997818975,606,917,66.08505997818975
40:'(',0.6674311926605505,582,872,66.74311926605505
35:'#',0.6719457013574661,594,884,67.19457013574662
36:'$',0.6899151743638078,732,1061,68.99151743638078
47:'/',0.6973555337904016,712,1021,69.73555337904016
50:'2',0.7011445527766003,3308,4718,70.11445527766003
78:'N',0.7165829145728643,713,995,71.65829145728642
57:'9',0.7234751409533573,2823,3902,72.34751409533573
62:'>',0.7244157937147462,899,1241,72.44157937147462
43:'+',0.743073047858942,885,1191,74.3073047858942
49:'1',0.745312245230719,4571,6133,74.5312245230719
48:'0',0.7539814200398142,4545,6028,75.39814200398142
54:'6',0.7687261955141769,3633,4726,76.87261955141769
51:'3',0.7737877401646843,3383,4372,77.37877401646843
53:'5',0.8097052845528455,3187,3936,80.97052845528455
60:'<',0.8316251830161054,1704,2049,83.16251830161055
