character,accuracy,correct,total,percentage_%
183:'·',0.2616580310880829,101,386,26.165803108808287
194:'Â',0.2616580310880829,101,386,26.165803108808287
189:'½',0.2748091603053435,108,393,27.480916030534353
190:'¾',0.2765957446808511,104,376,27.659574468085108
94:'^',0.2774018944519621,205,739,27.74018944519621
221:'Ý',0.2838983050847458,134,472,28.389830508474578
169:'©',0.2896551724137931,126,435,28.965517241379313
225:'á',0.2903225806451613,99,341,29.03225806451613
49:'1',0.30409261372900703,1865,6133,30.409261372900705
233:'é',0.3135593220338983,111,354,31.35593220338983
"44:','",0.31721698113207547,269,848,31.721698113207548
162:'¢',0.3178082191780822,116,365,31.780821917808222
61:'=',0.32083333333333336,154,480,32.083333333333336
231:'ç',0.3211267605633803,114,355,32.11267605633803
222:'Þ',0.32840236686390534,111,338,32.84023668639053
253:'ý',0.3581267217630854,130,363,35.81267217630854
247:'÷',0.3601190476190476,121,336,36.01190476190476
187:'»',0.366412213740458,144,393,36.6412213740458
68:'D',0.3686635944700461,400,1085,36.86635944700461
52:'4',0.3747512712801238,1695,4523,37.47512712801238
83:'S',0.3781048758049678,411,1087,37.81048758049678
37:'%',0.38596491228070173,264,684,38.59649122807017
174:'®',0.3893129770992366,153,393,38.93129770992366
72:'H',0.3902439024390244,416,1066,39.02439024390244
177:'±',0.3931203931203931,160,407,39.31203931203931
87:'W',0.39647058823529413,337,850,39.64705882352941
56:'8',0.41497375028532296,1818,4381,41.497375028532296
210:'Ò',0.44542772861356933,151,339,44.54277286135693
92:'\\',0.4557926829268293,299,656,45.579268292682926
48:'0',0.4575315195753152,2758,6028,45.75315195753152
50:'2',0.4624841034336583,2182,4718,46.24841034336583
81:'Q',0.4629418472063854,406,877,46.29418472063854
82:'R',0.4629451395572666,481,1039,46.294513955726664
95:'_',0.47401247401247404,228,481,47.4012474012474
86:'V',0.49426605504587157,431,872,49.42660550458716
66:'B',0.49499545040946313,544,1099,49.499545040946316
54:'6',0.5040203131612357,2382,4726,50.402031316123576
79:'O',0.5044359949302915,398,789,50.44359949302915
73:'I',0.5093304061470911,464,911,50.933040614709114
77:'M',0.5203665987780041,511,982,52.0366598778004
209:'Ñ',0.525096525096525,272,518,52.509652509652504
57:'9',0.5253716043054844,2050,3902,52.53716043054843
84:'T',0.5329545454545455,469,880,53.29545454545455
90:'Z',0.5398633257403189,474,878,53.98633257403189
85:'U',0.5451745379876797,531,974,54.51745379876797
88:'X',0.5597701149425287,487,870,55.97701149425287
75:'K',0.5599104143337066,500,893,55.99104143337066
65:'A',0.5759162303664922,660,1146,57.59162303664922
71:'G',0.5777310924369747,550,952,57.773109243697476
89:'Y',0.5780542986425339,511,884,57.80542986425339
67:'C',0.581081081081081,559,962,58.108108108108105
42:'*',0.5841121495327103,500,856,58.41121495327103
35:'#',0.584841628959276,517,884,58.484162895927604
74:'J',0.5923497267759563,542,915,59.234972677595636
69:'E',0.6033578174186779,575,953,60.33578174186779
78:'N',0.6050251256281407,602,995,60.50251256281407
70:'F',0.6118500604594922,506,827,61.18500604594922
53:'5',0.615599593495935,2423,3936,61.5599593495935
41:')',0.6173120728929385,542,878,61.731207289293856
76:'L',0.6215316315205327,560,901,62.15316315205327
80:'P',0.6346782988004362,582,917,63.467829880043624
36:'$',0.6390197926484449,678,1061,63.901979264844485
40:'(',0.661697247706422,577,872,66.1697247706422
51:'3',0.6724611161939615,2940,4372,67.24611161939616
43:'+',0.707808564231738,843,1191,70.7808564231738
62:'>',0.7155519742143432,888,1241,71.55519742143433
55:'7',0.732470892626132,2831,3865,73.2470892626132
47:'/',0.7786483839373164,795,1021,77.86483839373165
60:'<',0.7999023914104442,1639,2049,79.99023914104441
