character,accuracy,correct,total,percentage_%
105:'i',0.2085201793721973,93,446,20.85201793721973
98:'b',0.2125,102,480,21.25
184:'¸',0.2144638403990025,86,401,21.44638403990025
228:'ä',0.21865889212827988,75,343,21.865889212827987
121:'y',0.22,99,450,22.0
178:'²',0.22302158273381295,93,417,22.302158273381295
144:'\x90',0.22382671480144403,62,277,22.382671480144403
176:'°',0.22458628841607564,95,423,22.458628841607563
58:':',0.22720478325859492,152,669,22.720478325859492
217:'Ù',0.2275449101796407,114,501,22.75449101796407
119:'w',0.22850678733031674,101,442,22.850678733031675
29:'\x1d',0.23058823529411765,98,425,23.058823529411764
244:'ô',0.23119777158774374,83,359,23.119777158774372
14:'\x0e',0.23134328358208955,62,268,23.134328358208954
13:'\r',0.2330508474576271,55,236,23.30508474576271
201:'É',0.241869918699187,119,492,24.1869918699187
2:'\x02',0.24413145539906103,156,639,24.413145539906104
229:'å',0.24561403508771928,84,342,24.561403508771928
225:'á',0.24633431085043989,84,341,24.633431085043988
242:'ò',0.2518703241895262,101,401,25.187032418952622
22:'\x16',0.2537764350453172,84,331,25.377643504531722
63:'?',0.25427350427350426,119,468,25.427350427350426
205:'Í',0.2548476454293629,92,361,25.48476454293629
180:'´',0.2582278481012658,102,395,25.82278481012658
226:'â',0.26099706744868034,89,341,26.099706744868033
227:'ã',0.2622478386167147,91,347,26.22478386167147
203:'Ë',0.2627551020408163,103,392,26.27551020408163
197:'Å',0.26430517711171664,97,367,26.430517711171664
32:' ',0.26593406593406593,121,455,26.593406593406595
196:'Ä',0.27007299270072993,111,411,27.00729927007299
107:'k',0.2703862660944206,126,466,27.038626609442062
113:'q',0.27293064876957496,122,447,27.293064876957494
246:'ö',0.27492447129909364,91,331,27.492447129909365
207:'Ï',0.27793696275071633,97,349,27.793696275071632
103:'g',0.2786516853932584,124,445,27.86516853932584
238:'î',0.2796610169491525,99,354,27.966101694915253
224:'à',0.27988338192419826,96,343,27.988338192419825
248:'ø',0.28059701492537314,94,335,28.059701492537314
234:'ê',0.281767955801105,102,362,28.176795580110497
104:'h',0.281947261663286,139,493,28.1947261663286
192:'À',0.2821576763485477,136,482,28.21576763485477
240:'ð',0.282798833819242,97,343,28.279883381924197
112:'p',0.28293736501079914,131,463,28.293736501079913
236:'ì',0.28328611898017,100,353,28.328611898016998
146:'\x92',0.28431372549019607,116,408,28.431372549019606
239:'ï',0.2853107344632768,101,354,28.53107344632768
163:'£',0.2891304347826087,133,460,28.913043478260867
28:'\x1c',0.289532293986637,130,449,28.953229398663698
97:'a',0.29080118694362017,196,674,29.080118694362017
204:'Ì',0.29133858267716534,111,381,29.133858267716533
116:'t',0.292,146,500,29.2
106:'j',0.2929936305732484,138,471,29.29936305732484
214:'Ö',0.29310344827586204,102,348,29.310344827586203
255:'ÿ',0.2958579881656805,50,169,29.585798816568047
235:'ë',0.2962962962962963,104,351,29.629629629629626
152:'\x98',0.2978723404255319,56,188,29.78723404255319
250:'ú',0.29916897506925205,108,361,29.916897506925206
188:'¼',0.29978118161925604,137,457,29.978118161925604
206:'Î',0.3002832861189802,106,353,30.02832861189802
211:'Ó',0.30029154518950435,103,343,30.029154518950435
168:'¨',0.30114942528735633,131,435,30.114942528735632
114:'r',0.3014018691588785,129,428,30.140186915887853
102:'f',0.3020408163265306,148,490,30.20408163265306
233:'é',0.3022598870056497,107,354,30.225988700564972
232:'è',0.3022598870056497,107,354,30.225988700564972
223:'ß',0.3029411764705882,103,340,30.294117647058822
126:'~',0.30313588850174217,174,574,30.313588850174217
213:'Õ',0.3033033033033033,101,333,30.33033033033033
193:'Á',0.30512820512820515,119,390,30.512820512820515
212:'Ô',0.30513595166163143,101,331,30.513595166163142
30:'\x1e',0.30517241379310345,177,580,30.517241379310345
237:'í',0.3059490084985836,108,353,30.59490084985836
6:'\x06',0.309255079006772,137,443,30.9255079006772
194:'Â',0.3134715025906736,121,386,31.34715025906736
191:'¿',0.31413612565445026,120,382,31.413612565445025
195:'Ã',0.3151041666666667,121,384,31.510416666666668
231:'ç',0.3154929577464789,112,355,31.549295774647888
241:'ñ',0.3157894736842105,108,342,31.57894736842105
